fen	1-7334-S,1-22198-S,1-38979-S,1-48103-S,1-71362-S,2-5444-S,3-19472-S,3-32797-S,3-50545-S,3-55751-S,4-34366-S,4-35429-S,4-44561-B,4-68863-S,5-15453-S,5-59714-S,6-11947-S,6-28281-S,6-38337-S,6-51762-B,6-64150-S,6-64469-S,7-23484-B,7-24933-S,7-33826-S,7-48398-S,7-56731-S,8-32397-S,8-48969-B,8-49157-B,9-39314-S,10-8906-S,10-40561-S,10-42491-S,10-45083-S,11-2805-S,11-11915-S,11-66156-S,12-11616-S,12-53978-S,12-67172-B,14-51285-S,15-47153-B,15-47392-S,15-48784-B,16-8923-S,16-30577-B,16-38956-S,16-59840-S,17-36783-S,17-36783-S,17-44473-S,18-17965-B,18-24353-S,19-16933-S,19-24484-S,19-66534-S,20-46627-S,21-60-S,21-64045-S,22-16487-S,22-35206-B,22-37667-S,22-47342-S,22-47342-S,24-6879-S,24-17962-S,24-20249-S,24-51488-B,25-5363-S,25-5464-S,25-10116-S,25-12427-S,25-40522-S,25-41659-S,25-56411-B,26-7882-S,26-8222-S,26-41159-S,27-18715-S,27-70315-S,28-12535-S,28-18376-S,30-18679-S,31-17972-S,31-32939-S,31-39520-S,32-26197-S,32-54208-S,32-60737-S,32-61493-S,32-69215-S,33-2174-S,33-32120-B,34-24734-B,34-24839-B,35-7238-S,35-27395-S,36-9510-S,36-24406-B,36-28323-S,36-28717-S,36-38948-S,37-2110-B,37-21006-S,37-54832-S,37-55209-S,37-60046-S,37-60655-S,39-35571-S,40-2427-S,40-7941-B,40-16856-B,40-28977-S,40-45059-S,40-45127-B,42-31539-S,42-31605-S,42-37579-B,42-39839-S,43-8803-S,44-27398-S,44-32624-S,44-43682-S,44-50777-S,45-33235-S,47-2932-S,47-2932-S,47-12540-S,47-14316-S,47-38710-S,47-39417-S,48-17795-S,48-45900-S,48-47146-B,48-62322-B,49-2067-S,49-4276-S,49-13648-S,49-24024-B,49-24275-S,49-32126-S,49-37751-S,49-45938-S,49-45938-S,50-19004-S,50-19216-S,50-43462-S,51-2121-S,51-13240-S,51-15148-B,51-32454-S,51-68119-S,52-9755-S,52-11601-S,52-59112-S,53-8653-S,53-23763-S,53-53369-B,53-59093-S,54-793-S,54-1302-S,54-43681-S,54-57265-S,55-15332-B,55-39014-S,55-46040-S,55-49195-S,55-58382-B,56-19444-S,57-9985-S,59-7195-S,59-26626-B,59-29443-S,59-43174-S,60-55453-S,60-55674-S,61-15253-S,61-31208-B,62-9807-S,62-43392-S,62-43712-S,63-22791-S,63-22791-S,63-22920-S,63-31423-S,63-36451-S,63-41537-B,63-54722-S,64-19553-S,65-10685-S,65-13021-S,66-13395-S,67-12366-S,67-17715-B,67-63263-S,69-10623-S,69-19050-S,69-29444-S,70-11865-S,70-37543-S,70-41530-B,70-50706-S,70-53357-B,71-13872-S,71-49194-B,71-50451-B,71-51038-S
fen Mei jin	3-47478-S
fen bai	44-51541-S
fen bei	8-58494-B
fen bi	44-51424-S,48-47473-B,70-8598-S
fen bi ci	1-71497-S
fen bi ji shu	18-18601-B
fen bian	8-58683-B,8-58873-B,48-62356-B
fen bian lu:	8-58805-B
fen bie	8-50317-B
