sì tóng	58-63883-S
sì tōng bā dá	14-53361-B
sì wàn	7-66573-S
sì wèi	14-25214-B
sì wéi kōng jiān	14-52304-B
sì wéi shí kōng	14-52205-B
sì wú jì dàn	52-3895-B
sì xià	14-46021-B
sì xiàn	21-46015-S,37-35652-B
sì xiào fēi xiào	4-62822-B
sì xiào yìng	58-10416-S
sì xiǎng	14-25590-B
sì xiǎo lóng	14-48667-B
sì xuě	4-62920-B
sì xì	4-62090-B,57-43639-S
sì xìng	45-26351-S
sì xún jié	14-50636-B
sì xún zhāi	14-50700-B
sì yuàn	17-15603-S,20-32190-B
sì yuè	14-50943-B
sì yuè shí qī hào	14-50994-B
sì yuè tuán	27-12128-S
sì yáng	37-35704-B
sì yì	52-3763-B
sì yùn dòng	3-48299-S
sì yú	1-27924-S
sì yī èr	14-45479-B
sì yī èr cǎn àn	14-45852-B
sì yī èr fǎn gé mìng zhèng biàn	14-45708-B
sì yī èr shì biàn	14-45618-B
sì yǎng	69-7029-B
sì yǎng chǎng	69-7079-B
sì yǎng zhě	69-7147-B
sì yǐ chǐ gōng	12-32666-S
sì yǐ jī qiān zhōng dú	14-46152-B
sì zhī	14-52471-B
sì zhōu	14-47413-B
sì zǐ	14-25333-B
sì zǐ wáng qí	14-48401-B
sì ài guó yùn dòng	3-48098-S
sí	36-24749-S
sòng	2-33387-S,4-45399-S,5-40382-S,6-37963-S,6-39910-S,6-41612-S,6-42687-S,7-44185-S,8-58952-S,9-41788-S,10-16004-S,10-30309-S,10-69305-S,10-72577-S,12-65913-S,13-8553-S,13-51031-S,16-51122-S,18-4992-S,19-34795-B,20-2955-S,20-5780-S,26-64725-S,28-28306-S,29-15783-S,30-60844-S,31-16490-S,32-45206-S,35-12028-S,35-26694-S,35-32518-S,36-19205-S,37-25193-S,38-35618-S,41-39452-S,44-34712-S,45-19023-S,47-35472-S,52-18499-S,57-61337-S,58-436-B,58-4652-S,58-30825-B,59-5610-S,59-14924-S,60-2875-S,60-29569-S,61-18120-S,61-29511-S,61-63346-B,62-42040-S,62-60021-S,62-64192-S,63-38688-S,68-27756-B
sòng bié	61-63616-B
sòng bái	19-36135-B
sòng bā dà jiā	13-51115-S
sòng cháo	19-35714-B
sòng chū jìng	62-64294-S
sòng chǔ yú	19-35825-B
sòng cí	19-35386-B,68-28026-B
sòng cún qǔ jí guǎn lǐ	35-12100-S
sòng cān	61-64217-B
sòng de	60-2946-S
sòng dài	6-41669-S,19-34915-B,31-1208-S,56-33780-S
sòng dì zhǐ	63-38734-S
sòng dú	58-30914-B
sòng fèi	63-38863-S
sòng fó hào	71-37021-S
sòng fú wù	6-41730-S,57-61409-S,59-51229-S,67-29212-S
sòng fǎ	8-64292-S
sòng fǎn	61-64170-B
sòng gē	68-27846-B
sòng gěi	61-63880-B
sòng gōng lǜ	44-34769-S
sòng gǔ	61-63943-B
sòng huò	61-64124-B
sòng huī zōng	19-35309-B
sòng jiào rén	19-35531-B
sòng jiāng	19-36031-B
sòng jiāo	61-63449-B
sòng jīng	58-30859-B
sòng kè tái	61-63659-B
sòng lián	19-36078-B
sòng lùn tán	57-61611-S
sòng lǐ	61-63778-B
sòng méi jiè	61-18170-S
sòng měi líng	19-36241-B
sòng qiū bō	31-63228-S
sòng qì	2-33447-S,7-11090-S,44-34856-S,61-63723-B
sòng qìng líng	19-35439-B
sòng qí	19-36189-B
sòng rén	61-63508-B
sòng shí dài	9-41873-S
sòng shēng zài dào	68-27885-B
sòng shū	19-35602-B
sòng shǐ	19-34973-B
sòng sì dà bù shū	10-30380-S
sòng sì dà shū	19-35035-B
sòng sì jiā	19-35138-B
sòng tài zǔ	19-35243-B
sòng tàn	67-15570-S
sòng tǐ	19-36418-B
sòng wǎng	61-44792-S
