patiens	17-5540-B,20-6257-B
patienter	20-6324-B
patientia	13-2982-B,20-6215-B
patina	3-4195-B
patior	38-27-B,38-64-B
patior[verb]	4-3506-B
patria	12-4301-B,12-4352-B
patria[noun]	19-362-B
patricius	3-6450-B
patris	12-4279-S
patrius	14-5202-B
patrizo	38-1002-B
patro	31-4799-B
patrocinium	20-6373-B
patrocinor	35-5684-B
patronus	20-6345-B
patruus	20-6191-B
patulum	4-506-B
pauci	12-5754-B
paulatim	14-3182-B
paulisper	13-2355-B
paululum	40-5715-B
pauper	6-5502-B,21-3430-B
paupertas	6-5539-B
paveo	31-3879-B
pavidus	11-1842-B
pavio	38-5189-B
pavor	22-2875-B
pax	14-5809-B
pax pacis	20-6708-B,20-6740-B
peccamen	24-4471-B
peccatus	24-4499-B
pecco	31-2881-B
pecoris	15-1870-S
pecto	30-913-B
pectoris	15-1162-S
pectus, pectoris	15-1162-B
pecudis	24-4663-S
peculium	3-2657-B
pecunia	18-5932-B
pecuniosus	23-2549-B
pecus	4-134-B
pecus, pecoris	15-1870-B
pecus, pecudis	24-4663-B
pedes	14-2593-B
pedis	13-2267-B,13-2287-S
peior	42-2471-B
peior pessimus	6-3101-S
peius, pessime	6-3203-S
pelagus	18-1020-B
pellax	24-786-B
pellis	20-6966-B
pello pepulli pulsum	33-3844-B
peloris	3-3468-B
pelvis	13-1920-B
pendeo	33-2525-B
pendere[verb]	41-2733-B
pendit[verb]	41-2817-B
pendo	39-2177-B
pene	19-1820-S
penetrabilis	7-5925-B
penetralis	2-6844-B,20-5915-B
penetranter	10-2348-B
penetro	32-7253-B,35-6815-B
penicullus	3-6589-B
peniculus	4-710-B
penintentiarius	8-6635-B
penis	26-2613-B
penitens	2-7411-B
penitentia	20-6980-B
penitio	31-2747-B
penitus	1-5279-B,1-5858-B,16-5228-B
penna	12-5160-B,12-5181-B
pennae	41-6017-B
pennatus	42-58-B
penniger	42-90-B
pennipes	42-122-B
pennipotens	7-5991-B
pennipotenti	7-186-B
pensare[verb]	41-2753-B
pensator	11-735-B
pensilis	14-5258-B
pensio	4-1641-B
pensitare[verb]	41-2773-B
pensito	35-3429-B,39-1961-B
penso	39-2075-B
pensus	20-5102-B
penuria, penurium	17-1133-B
penuriosus	20-7045-B
penurium	17-1133-S
penus, us	22-1439-B
peplum	23-3441-B
pepulli pulsum	33-3844-S
