incommode	16-1660-B
incommoditas	16-1509-B
incommodo	1-6306-B
incommodus	10-5702-B,16-1613-B
incommutabilis	40-270-B
incomparabilis	42-1226-B
incompertus	40-2296-B
incomposite	16-5485-B
incompositus	10-6603-B
incomprehensibilis	15-5914-B
incomptus	40-2109-B
inconcessus	13-3005-B
inconcinnus	6-2812-B
inconcussus	13-38-B
inconditus	11-0-B
incongruens	19-3553-B
incongruus	40-3193-B
inconsiderate	27-3275-B
inconsideratus	42-1526-B
inconsolabilis	16-1370-B
inconstans	16-1301-B
inconstanter	16-1429-B
inconstantia	8-1711-B
inconsulte	16-2233-B
inconsultus	16-1258-B,42-1085-B
inconsumptus	40-467-B
incontaminatus	22-1946-B
incontentus	40-3045-B
incontinencia	17-1086-B
incontinens	16-1484-B
inconveniens	19-3878-B
inconvulsus	40-2990-B
incoquo, incoxo, incoctum	1-8683-B
incorrectus	40-1817-B
incorruptus	40-520-B
incoxo, incoctum	1-8683-S
increbresco	1-8761-B
incredibilis	16-1816-B
incredulus	16-1855-B
incrementabiliter	16-1784-B
incrementum	6-2096-B,14-4142-B
increpito	1-6435-B
increpo	2-6972-B,36-358-B
incresco	1-8724-B
incruentatus, incruentus	7-954-B
incruente	42-1197-B
incruentus	7-954-S
incubo	29-4774-B,33-2370-B
inculco	30-4892-B
inculpatus	16-3480-B
inculta	41-1559-B
incultus	19-2135-B,40-3293-B,40-3338-B,40-3397-B
incumbo	28-300-B,31-0-B,34-2291-B
incunabula	26-1791-B
incunctanter	40-1659-B
incuratus	40-1620-B
incuria	7-6271-B
incuriose	19-2266-B
incuriosus	19-2094-B
incurro	27-4086-B,36-5150-B
incursio	6-1628-B,8-3316-B
incurso	30-824-B
incursus	5-3273-B,5-3322-B
incurvo	1-6390-B
incutio	37-6541-B
indagatio	16-5142-B
inde	13-6398-S,27-1618-B
inde[adverb]	27-1598-B,27-1768-B
indebitus	19-3730-B
indecl.) (iv, iiii)[adjective]	13-5005-S
indecl.)[adjective]	13-743-S,24-2421-S,26-4245-S
indecl.)[noun]	11-5738-S,19-4059-S
indemnis	16-3527-B
