matera, mairia	3-356-B
northmanni	19-3412-B
nos	40-4122-B,41-1766-B
nosco	28-7682-B
noster nostra nostrum	20-4000-B
noster nostri	20-3904-B,20-3952-B
nostra nostrum	20-4000-S
nostri	20-3904-S,20-3952-S
nostrum	20-4000-S
nota	18-2070-B
notabilis	11-3180-B
notarius	25-4307-B
nothus[noun]	6-4057-B
notitia	17-817-B
noto-are	18-1124-B
notos	25-1730-B
nous	16-4351-B
novem	19-3053-B
novercalis	18-1212-B
novitas	19-2932-B
novo	34-4518-B
novus	19-2835-B,19-4471-B
novus, -a, -um[adjective]	19-2772-B
nox	10-1284-S
nox noctis	19-3019-B
noxa	19-6377-B
noxialis	19-4879-B
ntis	9-4526-S
ntis[noun]	8-6385-S,22-822-S
nullatenus	16-212-B
nullus	19-3607-B
numen	11-1035-B
numerus	39-4151-B
numquam	6-1219-B
nunc	19-4626-B
nunc quidem	6-1327-B
nuncupo	29-5726-B
nundinae	39-4458-B
nunquam	19-2585-B
nuntio	27-6967-B
nuntium-i	19-1230-B
nuntius	18-4164-B
nuper	19-2895-B
nuptiae	41-2278-B
nuptialis	41-2295-B
nusquam	19-4759-B,19-4818-B
nusquam esse	19-3981-B
nuto	32-1507-B
nutrimens	13-2006-B
nutrimentus	19-4446-B
nutrio	37-7507-B
nutritor	39-3905-B
nutus	3-6472-B,3-6529-B,8-4748-B
ob rem	41-4061-S
obdormio	32-479-B
obduco	31-3654-B
obductio	9-4128-B
obduro	28-4779-B
obedienter	19-5241-B
obedio	39-3404-B
obex	6-3966-B
obfirmo	29-2532-B
obicio obieci obiectum	34-8075-B
obieci obiectum	34-8075-S
obiectum	34-8075-S
objurgo	32-2380-B
obligatus	7-2443-B
obliquo	38-6269-B
obliquus	24-5572-B
oblittero	29-5883-B
oblivio	13-3591-B
oblivio[noun]	13-3563-B
obliviosus[adjective]	13-3531-B
oblivisci[verb]	13-3508-B
obnixe	42-576-B
obnoxius	14-5702-B
obnubilo	35-319-B
obruo	35-649-B
obscoena	19-6416-B
obscurum	10-1054-B
obsequens	8-5779-B
obsequium	16-2449-B,19-5208-B
obsequium funeris	14-426-B
obses	2-6885-B,26-1344-B
obsideo	37-2444-B
obsido	7-901-B
obstaculum	19-5401-B
obstinatus	12-6486-B,23-1168-B
obsto	35-47-B
