magistra, -ae (f.)[noun]	18-2418-S
magistrae, -arum (f.)[noun]	18-2581-S
magistri, -orum (m.); magistrae, -arum (f.)[noun]	18-2581-B
magnificabiliter	25-2646-B
magnificentia	18-780-B
magnifico	32-244-B
magnificus	11-4907-B
magno cum fletu[adverb]	26-3538-B
magnopere magnus opere	40-5847-B
magnus maior maximus	17-1747-B
magnus opere	40-5847-S
magus	18-679-B
maiestas	18-1061-B
maior maximus	17-1747-S
maiores	2-7661-B
mairia	3-356-S
major domus	18-2873-B
majores	11-4367-B
majores natu	11-4383-B
mala	16-6172-B
malbodiensis	18-2850-B
male	41-5119-B
male, peius, pessime	6-3203-B
maledicti[noun]	24-4812-B
maledictio	10-110-B
maleficus	41-5020-B
malefidus	12-3353-B
malens	21-5235-B
malevolens	18-1172-B
malignitas	41-5221-B
maligno	30-4142-B
maligo	31-3051-B
mallui, malus	30-256-S
malmundarium	18-1235-B
malo, mallui, malus	30-256-B
malum	12-1051-B
malus	30-256-S
malus peior pessimus	6-3101-B
malus[adjective]	6-2991-B
mamilla[noun]	26-4016-B
mamillae[noun]	26-4082-B
mamma[noun]	26-4035-B
mammae[noun]	26-4103-B,26-4122-B
mancepo	36-7225-S
mancipium	24-5642-B
mancipo	38-4927-B
mancipo, mancepo	36-7225-B
mandatum	8-4834-B,18-4137-B,20-3104-B
mandatum legationis	36-2000-S
mando	30-1786-B,36-7504-B
mane	19-117-B
manentia	21-199-B
maneo	36-2247-B
manifesto	34-5554-B
manipulus	18-1643-B
mano	32-3783-B
mansuesco	33-1469-B
mansuetudo	18-4539-B
mansuetus	18-4491-B
mansurus	26-4661-B
manus	14-5165-S,14-5246-B
manus manus	14-5165-B
mara	18-2152-B
marceniense	18-2000-B
marcieniensis	18-2026-B
mare maris	24-208-B
maris	24-208-S,27-3623-S
maritus	15-4941-B
marmoreus	17-4266-B
maro	28-268-B
martyr-yris	18-2337-B
martyrium	19-1206-B
mater matris	19-341-B
