superstes	26-1632-B,26-1672-B
supersto	38-597-B
supersum	28-6684-B
superus	15-2247-B
superus superior supremus or summus	4-3858-B
supervacuus	26-890-B
supervenio	28-1057-B,35-525-B
supparum	14-785-B
suppedito	32-6390-B
suppellectilus	15-3993-S,20-3606-S
suppellex, suppellectilus	15-3993-B,20-3606-B
supplanto	38-5522-B
supplex	3-960-B,17-659-B
supplex[adjective]	21-4719-B
suppliciter	26-1081-B
supplicium	22-1850-B,39-3974-B
suppono subpono	35-6718-B,35-7097-B
supra	1-746-B
supremus or summus	4-3858-S
supter	6-5982-S
surculus	24-3555-B
surgo	28-846-B
surgo surrexi surrectum	32-5840-B
surrectum	32-5840-S
surrepo	30-4697-S
surrexi surrectum	32-5840-S
surrideo	37-3004-B
surripio	35-1956-B
surrogo	38-4146-B
sursum	40-4039-B
sursum deorsum	40-3789-B
sus	26-2026-B
susceptor	14-4378-B
suscipere	38-6876-B
suscipio	26-2680-B,35-7497-B
suscitatio	2-7135-B
suscito	37-5924-B
suscriptor	27-775-B
susicivus	17-2966-B
suspectus	26-1711-B
suspendo	38-618-B,39-223-B
suspicio	34-3643-B
suspicor	38-260-B
suspiria	38-4184-S
suspiro	37-2033-B
sustento	34-4119-B
sustineo	33-4188-B
sustituo	35-6861-B
sustuli sublatum	34-2537-S
susurro	39-2391-B
suum	2-9014-S
suus, sua, suum	2-9014-B
sycamorus	26-2270-B
sycophanta	26-2289-B
syllaba	26-2340-B
symphonia	26-2512-B
synagoga	26-2531-B
syrma, sirma	24-289-B
tabella	42-3007-B
tabellae	17-3458-B
taberna -ae (f)[noun]	14-4681-B
tabernus	7-2084-B
tabesco	34-6300-B
tabgo tetigi tactum	38-4751-B
tabidus	18-3852-B
tabula	7-1365-B
taceo	28-6248-B
taceo tacuitacitum	28-6196-B
tactum	3-2257-S,38-4751-S
tactus	24-1281-B
tacuitacitum	28-6196-S
taeda	21-1653-B
taedet se	28-4477-B
taedium, tedium	10-6352-B
taeter	17-5125-B
talarius	15-529-B
talea	23-3508-B
talentum	21-3805-B
talio	23-1739-B,23-1922-B
talio reddo	36-4029-B
talis	19-6104-B
talus	26-4948-B
tam	4-6494-B,37-7418-B
tam .. quam	5-6258-B
tamdiu	13-2615-B
tamen	5-4131-S,15-4516-B,19-4175-B
tametsi	12-662-B
tamisium	24-4114-B
tamquam tanquam	6-201-B
tandem	6-1052-B,6-1201-B,16-454-S
tango	38-4570-B
tango-tetigi-tactum	3-2257-B
tanquam	4-6187-B,6-201-S
tantillum	26-288-B
tantillus	25-268-B
tantum	20-2064-B
tantummodo	20-2025-B
tantundem	4-6225-B
tantus	25-225-B
tardo	33-4899-B
tardus	24-5834-B,24-6029-B
taruennam	27-2116-B
te	1-3558-B,1-3855-B
tectum	24-3305-B,30-4409-S
tedium	10-6352-S
tegmen	9-4147-B
tego	30-2368-B
