eum ut +subjunctive	28-1408-S
eunuchus	12-618-B
evacuo	11-5173-B
evado	31-6406-B,33-307-B
evagor	39-702-B
evalesco	33-1621-B
evaneo	39-92-B
evanesco	1-9113-B
evangelium	26-5592-B
evanidus	40-4773-B
evasto	1-6607-B
eveho	2-9751-B
evello	1-9046-B,38-2461-B
evenio	30-1332-B
eventum	9-148-S
eventus	20-4124-B
eventus, eventum	9-148-B
everbero	37-6612-B
everriculum	3-4662-B
everro	2-9694-B
eversio	5-3832-B
eversor	3-4044-B
everto	31-719-B,38-6152-B
evestigatus	13-4852-B
evidens	8-3624-B
evidenter	8-3692-B
evigilo	28-2742-B
evincio, vinxi, victum	38-3568-B
evinco	30-3361-B
eviscero	31-1932-B
evito	37-1979-B
evoco	31-3470-B
evolo	32-3303-B
evolutio	40-2809-B
evolvo	38-7502-B
evomo	39-379-B
evulgo	35-5836-B
ex	1-3065-B
exacuo	37-1142-B
exaequo exequo	28-5372-B
exaestuo	32-6360-B
exaggeratio	4-4692-B
exaggeratus	4-4646-B
exaggero	31-5444-B
exagito	37-6017-B
exalto	35-7426-B
examinare[verb]	41-2711-B
examinat[verb]	41-2795-B
exanimus	17-3954-B
exardesco	38-3761-B
exaresco	28-7811-B
exarmo	31-1593-B
exaro	35-2795-B,39-3280-B
exaspero	33-6015-B
exaudio	33-3410-B,34-2805-B
excedo	2-9466-B
excellens	26-994-B
excellentia	12-1225-B
excello	31-4859-B
excelsa	11-4527-B
excelsis	16-477-S
excessum	10-3186-B
excipio	1-9165-B
excipo	36-564-B
excito	7-5577-B,28-2807-B
exclamo	37-1440-B
excludo	37-1901-B
excolo	33-4423-B,38-2605-B
excorio	37-1182-B,37-2513-B
excrucio	38-4353-B
excusatio	12-1540-B
excuso	31-7136-B
executio	36-6994-B
executor	4-5756-B
exemplar	18-5409-B
exemplum	20-6396-B
exempoator	18-246-B
exeo	39-2831-B
exequo	28-5372-S
exequor	32-3928-S
exerceo	27-5933-B,38-4819-B
exercitatio	4-5711-B,42-2180-B
exercito	35-3825-B
exercitus	5-5848-B
exertus	21-6826-S,26-4531-B
exesto	12-2266-B
exhaurio	31-7219-B
exhaustus	11-1761-B
exheredo	31-2012-B
exheres	10-6520-B
exhibeo	38-645-B
exhibeo exibeo	35-5385-B
exhibitio	21-6388-B
exhilaro	30-6677-B,34-4674-B
exhorresco	28-4831-B
exhorto	31-5168-B
exibeo	35-5385-S
exigo	8-5585-B,11-2438-B,31-6636-B
exilis	27-2385-B
eximietate	40-383-B
eximius	12-2285-B,40-337-B
eximo	32-4933-B
exinde	27-1678-B,27-1706-B
existo	29-213-B,37-5039-S
exitiabilis exitialis exitosus	12-4123-B
exitialis exitosus	12-4123-S
exitialiter	21-285-B
exitium	10-4491-B,23-4280-B
exitosus	12-4123-S
exitus	14-2650-B,42-963-B
exorbatus	25-5481-B
exordia[noun]	21-5049-B
exordior	29-757-B
exordium	8-4811-B,26-5049-B
exordium[noun]	21-5025-B
exorior	28-237-B,36-4620-B
exorno	31-6236-B,32-5230-B
exoro	21-5783-B,35-4736-B
exorsus	6-5784-B
exortus	5-5013-B
exosus	15-55-B,17-5080-B
expalpo	34-3933-B
expando	37-4428-B
expedio	32-4823-B,36-2045-B
expedite	13-5934-B,22-215-B
expeditio	11-6091-B
expeditione	18-4560-B
expeditus	40-1765-B
expello	31-4825-B
expello (expuli expulsum )	31-4270-B
expendo	30-3682-B
expergefacio	28-2841-B
expergescor	29-1476-B
experior	38-2734-B
experior (experiri, expertus )	38-5673-B
experiri, expertus )	38-5673-S
expers	10-4307-B,41-1051-B
expertus	12-2051-B
expertus )	38-5673-S
expetens	10-4110-B
expeto	30-6788-B,32-1238-B,36-6588-B
expilatio	21-2961-B
expio	35-6185-B
expiscor	32-2845-B
explano	34-4825-B
expleo	32-5046-B,34-5403-B
expleo explevi expletum	32-2731-B
expletio	23-5759-B,29-4134-B
expletum	32-2731-S
expletus	2-7299-B
explevi expletum	32-2731-S
